诗词标题,创作年份,创作地点（精确到市县/山川）,经纬度 (lat, lng)
五言诗·井,1906年,湖南湘潭县韶山冲,27.9136,112.5256
七绝·咏蛙,1909年,湖南湘乡县东山书院,27.7396,112.5262
七绝·改诗赠父亲,1910年,湖南湘潭县韶山冲,27.9136,112.5256
五言排律·湘江漫游联句,1914-1915年,湖南长沙,28.2282,112.9388
五古·挽易昌陶,1915年5月,湖南长沙湖南第一师范,28.1868,112.9729
七律·游学即景,1917年,湖南长沙/安化等地游学途中,28.2282,112.9388
七绝·赠刘翰林联句,1917年,湖南安化县,28.3765,111.2156
七古·送纵宇一郎东行,1918年4月,湖南长沙（平浪宫饯行）,28.2282,112.9388
四言诗·祭母文,1919年10月,湖南湘潭县韶山冲,27.9136,112.5256
归国谣·今宵月,1919年,湖南长沙（驱张运动期间）,28.2282,112.9388
虞美人·枕上,1921年,湖南长沙,28.2282,112.9388
贺新郎·别友,1923年12月,湖南长沙（小吴门外清水塘）,28.2050,112.9980
沁园春·长沙,1925年,湖南长沙（橘子洲头）,28.1884,112.9614
西江月·秋收起义,1927年,湘赣边界（修水、铜鼓、平江、浏阳）,28.8670,114.2330
菩萨蛮·黄鹤楼,1927年春,湖北武汉（黄鹤楼）,30.5467,114.3035
西江月·井冈山,1928年秋,江西井冈山（黄洋界）,26.6189,114.1436
清平乐·蒋桂战争,1929年秋,闽西（福建龙岩、上杭）,25.1031,116.8367
采桑子·重阳,1929年10月,福建上杭（临江楼）,25.0503,116.4202
如梦令·元旦,1930年1月,福建宁化、清流、归化行军途中,26.2612,116.6580
减字木兰花·广昌路上,1930年2月,江西广昌,26.8338,116.3273
蝶恋花·从汀州向长沙,1930年7月,福建汀州（长汀）,25.8421,116.3570
渔家傲·反第一次大围剿,1931年春,江西永丰龙冈,27.0492,115.5870
渔家傲·反第二次大围剿,1931年夏,江西吉安东固,26.9833,115.3500
菩萨蛮·大柏地,1933年夏,江西瑞金大柏地,25.9167,116.0500
清平乐·会昌,1934年夏,江西会昌（城外岚山岭）,25.6013,115.7860
十六字令三首,1934-1935年,长征途中（湘黔滇川）,26.6500,106.6300
忆秦娥·娄山关,1935年2月,贵州遵义娄山关,27.9167,106.9000
七律·长征,1935年10月,长征途中（甘肃通渭）,35.2083,105.2500
念奴娇·昆仑,1935年10月,四川/甘肃（岷山）,33.1667,103.7500
清平乐·六盘山,1935年10月,宁夏六盘山,35.6833,106.2000
六言诗·给彭德怀同志,1935年10月,陕西吴起镇,36.9167,107.4000
沁园春·雪,1936年2月,陕西清涧县袁家沟,37.1000,110.1200
临江仙·给丁玲同志,1936年12月,陕西保安（今志丹县）,36.8230,108.7670
四言诗·祭黄帝陵,1937年4月,陕西黄陵县（黄帝陵）,35.5800,109.2700
四言诗·题《中国妇女》之出版,1939年,陕西延安,36.5950,109.4800
五律·挽戴安澜将军,1943年3月,陕西延安,36.5950,109.4800
七律·忆重庆谈判,1945年,重庆/延安,29.5500,106.5400
五律·张冠道中,1947年,陕北（延川、清涧等地转战）,36.8833,110.0167
五律·喜闻捷报,1947年中秋,陕北（蟠龙战役）,36.7500,109.4500
七律·人民解放军占领南京,1949年4月,北京（香山双清别墅）,39.9888,116.1950
七律·和柳亚子先生,1949年4月,北京,39.9042,116.4074
浣溪沙·和柳亚子先生(长夜难明),1950年10月,北京（中南海怀仁堂）,39.9130,116.3830
浣溪沙·和柳亚子先生(颜斶齐王),1950年11月,北京,39.9042,116.4074
浪淘沙·北戴河,1954年夏,河北秦皇岛北戴河,39.8290,119.5100
七律·和周世钊同志,1955年,湖南长沙（岳麓山）,28.1860,112.9410
五律·看山,1955年,浙江杭州（北高峰）,30.2530,120.1000
七绝·莫干山,1955年,浙江德清莫干山,30.5950,119.8600
七绝·五云山,1955年,浙江杭州（五云山）,30.2000,120.1000
水调歌头·游泳,1956年6月,湖北武汉（横渡长江）,30.5600,114.2800
蝶恋花·答李淑一,1957年5月,湖南长沙,28.2282,112.9388
七绝·观潮,1957年9月,浙江海宁（钱塘江）,30.3200,120.6800
七律二首·送瘟神,1958年7月,浙江杭州/江西南昌,28.6820,115.8580
七绝·仿陆放翁,1958年12月,地点不详,28.6820,115.8580
七绝·刘蕡,1958年,地点不详,39.9042,116.4074
七律·到韶山,1959年6月,湖南湘潭韶山冲,27.9136,112.5256
七律·登庐山,1959年7月,江西庐山,29.5650,115.9700
七律·读报诗之一,1959年,地点不详,39.9042,116.4074
七绝·为女民兵题照,1961年2月,北京,39.9042,116.4074
七绝·为李进同志题所摄庐山仙人洞照,1961年9月,江西庐山,29.5650,115.9700
七绝二首·纪念鲁迅八十寿辰,1961年,地点不详,39.9042,116.4074
七绝·屈原,1961年秋,地点不详,39.9042,116.4074
七律·答友人,1961年,湖南长沙/北京,28.2282,112.9388
七律·和郭沫若同志,1961年11月,北京,39.9042,116.4074
卜算子·咏梅,1961年12月,浙江杭州,30.2500,120.1700
七律·冬云,1962年12月,北京,39.9042,116.4074
满江红·和郭沫若同志,1963年1月,北京,39.9042,116.4074
杂言诗·八连颂,1963年8月,北京,39.9042,116.4074
七律·吊罗荣桓同志,1963年12月,北京,39.9042,116.4074
贺新郎·读史,1964年春,北京,39.9042,116.4074
水调歌头·重上井冈山,1965年5月,江西井冈山（茨坪）,26.5810,114.1630
念奴娇·井冈山,1965年5月,江西井冈山（茨坪）,26.5810,114.1630
念奴娇·鸟儿问答,1965年秋,北京/武汉,39.9042,116.4074
七律·洪都,1965年,江西南昌,28.6820,115.8580
卜算子·悼艾地同志,1965年12月,浙江杭州,30.2500,120.1700
七律·有所思,1966年6月,湖南韶山滴水洞,27.9150,112.5300
